観測所番号,都道府県,地点,国際地点番号,現在時刻(年),現在時刻(月),現在時刻(日),現在時刻(時),現在時刻(分),現在値(mm),現在値の品質情報,今日の最大値(mm),今日の最大値の品質情報,今日の最大値起時（時）(まで),今日の最大値起時（分）(まで),今日の最大値起時(まで)の品質情報,極値更新,10年未満での極値更新,昨日までの観測史上1位の値(mm),昨日までの観測史上1位の値の品質情報,昨日までの観測史上1位の値の年,昨日までの観測史上1位の値の月,昨日までの観測史上1位の値の日,昨日までの8月の1位の値(mm),昨日までの8月の1位の値の品質情報,昨日までの8月の1位の値の年,昨日までの8月の1位の値の月,昨日までの8月の1位の値の日,統計開始年
11001,北海道 宗谷地方,宗谷岬（ソウヤミサキ）,,2020,08,28,23,30,1.0,8,2.0,5,22,07,5,,,45,8,1996,08,18,45,8,1996,08,18,1978
11016,北海道 宗谷地方,稚内（ワッカナイ）,47401,2020,08,28,23,30,3.0,8,3.0,5,23,30,5,,,64.0,8,1938,09,01,40.0,8,1985,08,17,1938
11046,北海道 宗谷地方,礼文（レブン）,,2020,08,28,23,30,0.5,8,1.0,5,22,46,5,,,50.5,8,2020,08,07,50.5,8,2020,08,07,2003
11061,北海道 宗谷地方,声問（コエトイ）,,2020,08,28,23,30,1.0,8,1.0,5,23,30,5,,,46.0,8,2010,09,20,27,8,2003,08,08,2003
11076,北海道 宗谷地方,浜鬼志別（ハマオニシベツ）,,2020,08,28,23,30,1.0,8,1.5,5,23,29,5,,,50.0,8,2013,08,24,50.0,8,2013,08,24,1978
11091,北海道 宗谷地方,本泊（モトドマリ）,,2020,08,28,23,30,0.0,8,1.0,5,22,58,5,,,49.5,8,2014,08,11,49.5,8,2014,08,11,2003
11121,北海道 宗谷地方,沼川（ヌマカワ）,,2020,08,28,23,30,0.5,8,1.5,5,22,58,5,,,38.0,8,2012,07,31,35,8,1999,08,27,1977
11151,北海道 宗谷地方,沓形（クツガタ）,,2020,08,28,23,30,0.0,8,0.0,5,,,,,,44,8,2006,10,19,32.0,8,2019,08,31,1976
11176,北海道 宗谷地方,豊富（トヨトミ）,,2020,08,28,23,30,0.0,8,2.0,5,22,14,5,,,47.5,8,2019,07,27,44.0,8,2012,08,23,1976
11206,北海道 宗谷地方,浜頓別（ハマトンベツ）,,2020,08,28,23,30,6.0,8,6.0,5,23,30,5,,,44,8,1999,08,22,44,8,1999,08,22,1976
11276,北海道 宗谷地方,中頓別（ナカトンベツ）,,2020,08,28,23,30,0.5,8,0.5,5,23,30,5,,,42,8,1999,08,22,42,8,1999,08,22,1976
11291,北海道 宗谷地方,北見枝幸（キタミエサシ）,47402,2020,08,28,23,30,0.0,8,0.0,5,,,,,,42.5,8,2010,09,06,40.5,8,2013,08,07,1942
11316,北海道 宗谷地方,歌登（ウタノボリ）,,2020,08,28,23,30,0.0,8,0.0,5,,,,,,43,8,2000,10,08,41.0,8,2017,08,24,1976
13011,北海道 宗谷地方,幌延（ホロノベ）,,2020,08,28,23,30,6.5,8,6.5,5,23,30,5,,,40,8,2006,09,29,32.5,8,2014,08,24,2006
12011,北海道 上川地方,中川（ナカガワ）,,2020,08,28,23,30,0.0,8,3.0,5,22,37,5,,,47.5,8,2015,08,14,47.5,8,2015,08,14,1977
12041,北海道 上川地方,音威子府（オトイネップ）,,2020,08,28,23,30,2.0,8,2.0,5,23,30,5,,,56.5,8,2019,07,19,52.5,8,2010,08,13,1978
12066,北海道 上川地方,小車（オグルマ）,,2020,08,28,23,30,0.0,8,0.0,5,,,,,,42.5,8,2009,07,24,38.5,8,2020,08,06,2006
12141,北海道 上川地方,美深（ビフカ）,,2020,08,28,23,30,0.0,8,0.0,5,,,,,,46,8,2006,07,18,33.0,8,2016,08,17,1976
12181,北海道 上川地方,名寄（ナヨロ）,,2020,08,28,23,30,0.0,8,0.0,5,,,,,,52.0,8,2017,07,10,43,8,1994,08,14,1976
12217,北海道 上川地方,西風連（ニシフウレン）,,2020,08,28,23,30,0.0,8,0.0,5,,,,,,43.0,8,2011,09,02,34.0,8,2014,08,05,2006
12231,北海道 上川地方,下川（シモカワ）,,2020,08,28,23,30,0.0,8,0.0,5,,,,,,43.5,8,2012,07,05,42.0,8,2014,08,05,1976
12256,北海道 上川地方,剣淵（ケンブチ）,,2020,08,28,23,30,0.0,8,0.0,5,,,,,,53.0,8,2016,07,31,42.0,8,2016,08,01,2006
12261,北海道 上川地方,士別（シベツ）,,2020,08,28,23,30,0.0,8,0.0,5,,,,,,72.0,8,2015,08,14,72.0,8,2015,08,14,1976
12266,北海道 上川地方,朝日（アサヒ）,,2020,08,28,23,30,0.0,8,0.0,5,,,,,,53.5,8,2012,07,31,40,8,1976,08,09,1976
12301,北海道 上川地方,和寒（ワッサム）,,2020,08,28,23,30,0.0,8,0.0,5,,,,,,45,8,1984,07,16,36.0,8,2012,08,26,1977
12386,北海道 上川地方,江丹別（エタンベツ）,,2020,08,28,23,30,0.0,8,0.0,5,,,,,,42.5,8,2012,08,01,42.5,8,2012,08,01,1977
12396,北海道 上川地方,比布（ピップ）,,2020,08,28,23,30,0.0,8,0.0,5,,,,,,63,8,2006,08,13,63,8,2006,08,13,1976
12411,北海道 上川地方,上川（カミカワ）,,2020,08,28,23,30,0.0,8,0.0,5,,,,,,47.0,8,2017,07,16,39,8,2006,08,18,1976
12442,北海道 上川地方,旭川（アサヒカワ）,47407,2020,08,28,23,30,0.0,8,0.0,5,,,,,,57.3,8,1912,08,14,57.3,8,1912,08,14,1908
12451,北海道 上川地方,東川（ヒガシカワ）,,2020,08,28,23,30,0.0,8,0.0,5,,,,,,47,8,2006,07,29,45,8,2006,08,18,1977
12457,北海道 上川地方,瑞穂（ミズホ）,,2020,08,28,23,30,0.0,8,0.0,5,,,,,,55,8,2007,07,03,50.0,8,2015,08,12,1984
12471,北海道 上川地方,層雲峡（ソウウンキョウ）,,2020,08,28,23,30,0.0,8,0.0,5,,,,,,51.5,8,2010,09,06,37,8,1994,08,11,1976
12501,北海道 上川地方,東神楽（ヒガシカグラ）,,2020,08,28,23,30,0.0,8,0.0,5,,,,,,53,8,2006,08,18,53,8,2006,08,18,2003
12512,北海道 上川地方,志比内（シビナイ）,,2020,08,28,23,30,0.0,8,0.0,5,,,,,,47.5,8,2014,07,13,46.0,8,2016,08,20,1993
12551,北海道 上川地方,美瑛（ビエイ）,,2020,08,28,23,30,0.0,8,0.0,5,,,,,,59.0,8,2017,08,01,59.0,8,2017,08,01,1976
12596,北海道 上川地方,上富良野（カミフラノ）,,2020,08,28,23,30,0.0,8,0.0,5,,,,,,44,8,2006,08,18,44,8,2006,08,18,1977
12607,北海道 上川地方,白金（シロガネ）,,2020,08,28,23,30,0.0,8,0.0,5,,,,,,75.5,8,2016,07,31,50.5,8,2016,08,23,1984
12626,北海道 上川地方,富良野（フラノ）,,2020,08,28,23,30,0.0,8,0.0,5,,,,,,50,8,2006,08,18,50,8,2006,08,18,1976
12632,北海道 上川地方,麓郷（ロクゴウ）,,2020,08,28,23,30,0.0,8,0.0,5,,,,,,50,8,2006,07,16,44,8,2006,08,18,1978
12686,北海道 上川地方,金山（カナヤマ）,,2020,08,28,23,30,0.0,8,0.0,5,,,,,,50.0,8,2016,08,01,50.0,8,2016,08,01,2006
12691,北海道 上川地方,幾寅（イクトラ）,,2020,08,28,23,30,0.0,8,0.0,5,,,,,,49,8,1994,08,13,49,8,1994,08,13,1977
12746,北海道 上川地方,占冠（シムカップ）,,2020,08,28,23,30,0.0,8,0.0,5,,,,,,44,8,1978,08,07,44,8,1978,08,07,1977
15041,北海道 上川地方,朱鞠内（シュマリナイ）,,2020,08,28,23,30,0.0,8,0.0,5,,,,,,61,8,1999,07,28,40,8,2003,08,08,1978
15076,北海道 上川地方,幌加内（ホロカナイ）,,2020,08,28,23,30,0.0,8,0.0,5,,,,,,56,8,2006,07,17,39,8,1988,08,25,1976
13061,北海道 留萌地方,天塩（テシオ）,,2020,08,28,23,30,0.0,8,0.0,5,,,,,,72.0,8,2013,08,11,72.0,8,2013,08,11,1976
13086,北海道 留萌地方,遠別（エンベツ）,,2020,08,28,23,30,0.0,8,0.5,5,22,57,5,,,57.0,8,2013,08,20,57.0,8,2013,08,20,1976
13121,北海道 留萌地方,初山別（ショサンベツ）,,2020,08,28,23,30,0.0,8,0.0,5,,,,,,69.0,8,2010,08,14,69.0,8,2010,08,14,1977
13146,北海道 留萌地方,焼尻（ヤギシリ）,,2020,08,28,23,30,0.0,8,0.0,5,,,,,,64.0,8,2010,08,14,64.0,8,2010,08,14,1977
13181,北海道 留萌地方,羽幌（ハボロ）,47404,2020,08,28,23,30,0.0,8,0.0,5,,,,,,54.0,8,1999,07,28,49.0,8,2010,08,14,1929
13206,北海道 留萌地方,古丹別（コタンベツ）,,2020,08,28,23,30,0.0,8,0.0,5,,,,,,60,8,1999,07,16,36,8,1992,08,31,1976
13261,北海道 留萌地方,達布（タップ）,,2020,08,28,23,30,0.0,8,0.0,5,,,,,,49,8,1994,08,12,49,8,1994,08,12,1977
13277,北海道 留萌地方,留萌（ルモイ）,47406,2020,08,28,23,30,0.0,8,0.0,5,,,,,,57.5,8,1988,08,25,57.5,8,1988,08,25,1943
